s,d,D
4,4,100
1,3,100
2,4,160
2,3,140
1,3,160
5,3,100
4,5,160
3,4,80
3,1,100
2,4,20
2,1,20
4,3,80
4,2,20
5,3,40
4,1,100
4,2,80
5,5,140
1,4,120
5,4,120
4,2,160
1,5,60
5,2,60
2,4,160
4,2,140
2,2,160
4,1,60
1,3,120
1,2,100
2,4,120
5,1,60
3,5,80
4,1,20
2,3,160
1,5,80
4,5,100
1,3,60
4,2,20
2,2,100
5,3,140
5,2,120
4,2,40
1,3,40
5,1,120
2,2,40
1,4,80
1,4,60
4,5,120
3,4,140
3,5,160
4,5,60
2,3,120
3,2,20
1,1,60
4,1,60
2,1,40
1,4,40
4,4,80
5,5,60
3,5,120
5,3,120
1,3,60
4,4,120
1,1,20
3,1,140
1,5,100
3,5,40
1,3,60
4,2,140
3,5,160
1,3,80
5,2,140
4,3,80
5,3,120
4,5,140
3,5,20
2,2,80
1,3,20
4,4,60
4,1,140
3,3,60
1,4,100
5,5,80
2,4,40
5,2,60
5,5,80
4,3,100
4,5,140
4,4,160
1,4,140
5,1,80
5,1,60
2,4,100
3,3,160
3,5,60
4,1,20
2,5,100
3,3,160
3,2,40
5,5,20
5,4,20
2,5,100
2,5,20
1,5,120
1,1,80
5,4,20
4,3,60
4,1,60
2,2,80
2,3,160
4,4,40
4,3,80
1,4,120
3,4,60
2,2,140
3,1,80
2,2,160
3,4,80
1,5,140
5,1,120
5,3,160
5,5,120
5,4,100
4,1,20
3,3,100
4,5,40
3,5,80
5,1,60
4,3,160
2,2,140
2,2,120
5,3,100
5,5,160
2,2,160
2,1,120
2,4,40
1,3,40
5,4,60
3,3,160
3,1,120
5,3,80
5,1,40
2,1,160
1,1,40
4,2,80
4,1,80
3,3,160
5,2,120
1,3,100
1,3,40
5,1,40
2,3,80
1,4,140
5,3,60
2,4,160
3,1,120
3,1,140
2,5,100
1,4,60
1,4,60
4,5,140
2,4,60
5,5,40
5,2,80
1,1,80
1,1,120
4,4,140
5,5,20
2,4,140
5,1,60
2,2,40
3,4,40
5,1,160
4,5,160
5,3,80
2,3,100
3,1,60
2,3,160
3,2,160
2,2,80
2,5,100
4,3,100
1,3,60
4,2,60
3,2,40
3,3,20
2,5,100
1,4,60
2,2,60
4,5,140
3,4,160
1,4,20
5,3,100
5,1,80
4,4,140
2,2,120
5,3,80
4,1,60
3,5,140
5,3,80
5,2,20
5,3,140
3,5,20
4,4,80
5,1,60
2,4,20
2,1,140
3,4,120
4,3,100
4,2,80
1,1,100
4,4,120
5,3,20
1,5,80
2,5,40
2,1,160
1,4,100
5,5,100
3,1,140
4,5,60
3,4,120
3,3,40
3,2,160
4,2,60
2,5,120
3,3,160
3,1,140
2,5,160
5,1,80
3,3,140
4,5,140
1,2,100
1,2,80
1,5,20
1,1,60
1,2,60
2,1,40
4,3,60
3,4,40
3,2,140
1,1,100
3,4,40
2,4,40
5,4,120
2,1,100
1,1,40
1,4,20
1,3,140
2,2,20
3,4,80
5,4,60
2,1,100
1,3,100
1,2,140
3,5,60
1,1,20
4,2,100
1,5,20
1,2,80
4,1,120
2,5,80
4,2,60
4,1,140
3,2,20
4,4,40
5,5,60
4,2,140
5,1,140
4,2,80
3,1,120
3,1,80
2,3,60
1,3,100
5,5,140
4,4,160
4,4,100
2,4,20
3,3,120
5,4,140
2,3,80
2,2,80
4,3,80
1,3,160
2,1,120
4,4,100
1,1,40
5,1,120
2,2,60
5,5,120
5,5,20
2,1,160
1,5,80
2,1,120
3,4,100
4,1,60
3,5,120
1,2,140
5,1,40
5,4,160
2,5,100
1,2,160
1,3,40
3,5,60
2,4,60
5,5,100
1,4,20
3,4,60
5,5,40
2,3,80
1,1,140
1,1,20
2,3,160
2,4,140
2,1,60
4,2,40
4,5,20
4,5,140
2,5,100
1,1,140
1,2,60
3,3,60
2,5,60
4,1,80
5,1,140
4,4,100
2,4,120
2,1,100
3,1,20
3,3,20
2,1,80
2,5,120
4,1,20
4,2,140
1,3,60
4,2,20
4,1,20
5,2,60
3,5,120
4,1,40
4,2,140
5,4,100
2,5,60
2,1,100
1,3,120
3,3,100
1,3,160
4,3,160
5,4,160
3,3,40
5,2,80
2,4,100
1,3,140
2,3,60
1,3,100
5,1,20
5,3,140
1,3,160
1,3,80
1,4,60
3,2,100
2,4,80
4,5,60
3,4,40
1,4,140
4,4,80
3,4,60
2,3,40
5,2,20
3,4,40
4,1,40
1,4,60
1,4,20
5,5,160
4,3,140
3,5,100
4,5,160
4,3,40
1,2,140
2,4,140
3,1,60
3,2,160
3,2,120
5,4,20
3,1,40
5,1,60
2,4,120
5,4,20
4,4,60
4,2,160
3,3,160
1,5,120
5,1,60
3,3,80
2,5,100
2,3,140
1,1,20
3,5,60
3,1,100
1,5,20
3,4,20
1,3,120
